"word","poc","text_id"
"hath","preposition or subordinating conjunction","FLEMIN2_129.txt"
"hath","verb, 3rd sing","FLEMIN2_129.txt"
"hath","noun, singular or mass","FLEMIN2_130.txt"
"hath","verb, 3rd sing","FLEMIN2_130.txt"
"hath","verb, 3rd sing","FLEMIN2_130.txt"
"hath","verb, 3rd sing","FLEMIN2_136.txt"
"hath","noun, singular or mass","FLEMIN2_140.txt"
"hath","noun, singular or mass","FLEMIN2_142.txt"
"hath","noun, singular or mass","FLEMIN2_143.txt"
"hath","verb, 3rd sing","FLEMIN2_145.txt"
"hath","noun, singular or mass","FLEMIN2_145.txt"
"hath","noun, singular or mass","FLEMIN2_147.txt"
"hath","verb, 3rd sing","FLEMIN2_147.txt"
"hath","preposition or subordinating conjunction","FLEMIN2_147.txt"
"hath","verb, 3rd sing","FLEMIN2_148.txt"
"hath","verb, 3rd sing","FLEMIN2_149.txt"
"hath","verb, 3rd sing","FLEMIN2_149.txt"
"hath","noun, singular or mass","FLEMIN2_149.txt"
"hath","verb, 3rd sing","FLEMIN2_150.txt"
"hath","verb, 3rd sing","FLEMIN2_155.txt"
"hath","verb, 3rd sing","FLEMIN2_156.txt"
"hath","noun, singular or mass","FLEMIN2_160.txt"
"hath","noun, singular or mass","FLEMIN2_160.txt"
"hath","noun, singular or mass","FLEMIN2_165.txt"
"hath","verb, 3rd sing","FLEMIN2_166.txt"
"hath","verb, 3rd sing","FLEMIN2_168.txt"
"hath","noun, singular or mass","FLEMIN2_169.txt"
"hath","noun, singular or mass","FLEMIN2_170.txt"
"hath","verb, 3rd sing","FLEMIN2_174.txt"
"hath","verb, 3rd sing","FLEMIN2_174.txt"
"hath","verb, 3rd sing","FLEMIN2_174.txt"
"hath","verb, 3rd sing","FLEMIN2_176.txt"
"hath","verb, 3rd sing","FLEMIN2_179.txt"
"hath","noun, singular or mass","FLEMIN2_186.txt"
"hath","noun, singular or mass","FLEMIN2_187.txt"
"hath","noun, singular or mass","FLEMIN2_192.txt"
"hath","noun, singular or mass","FLEMIN2_197.txt"
"hath","verb, 3rd sing","FLEMIN2_205.txt"
"hath","verb, 3rd sing","FLEMIN2_207.txt"
"hath","verb, 3rd sing","FLEMIN2_207.txt"
"hath","verb, non-3rd sing","FLEMIN2_207.txt"
"hath","noun, singular or mass","FLEMIN2_212.txt"
"hath","noun, singular or mass","FLEMIN2_213.txt"
"hath","verb, 3rd sing","FLEMIN2_215.txt"
"hath","verb, 3rd sing","FLEMIN2_215.txt"
"hath","noun, singular or mass","FLEMIN2_215.txt"
"hath","verb, non-3rd sing","FLEMIN2_215.txt"
"hath","verb, 3rd sing","FLEMIN2_218.txt"
"hath","verb, 3rd sing","FLEMIN2_220.txt"
"hath","noun, singular or mass","FLEMIN2_221.txt"
"hath","verb, 3rd sing","FLEMIN2_222.txt"
"hath","verb, 3rd sing","FLEMIN2_222.txt"
"hath","verb, non-3rd sing","FLEMIN2_222.txt"
"hath","verb, 3rd sing","FLEMIN2_223.txt"
"hath","verb, non-3rd sing","FLEMIN2_223.txt"
"hath","verb, 3rd sing","FLEMIN2_223.txt"
"hath","verb, 3rd sing","FLEMIN2_226.txt"
"hath","verb, 3rd sing","FLEMIN2_226.txt"
"hath","noun, singular or mass","FLEMIN2_227.txt"
"hath","verb, 3rd sing","FLEMIN2_229.txt"
"hath","verb, 3rd sing","FLEMIN2_231.txt"
"hath","verb, 3rd sing","FLEMIN2_236.txt"
"hath","noun, singular or mass","FLEMIN2_238.txt"
"hath","verb, 3rd sing","FLEMING_126.txt"
"hath","noun, singular or mass","FLEMINX_002.txt"
"hath","preposition or subordinating conjunction","FLEMINX_005.txt"
"hath","noun, singular or mass","FLEMINX_007.txt"
"hath","noun, singular or mass","FLEMINX_007.txt"
"hath","verb, 3rd sing","FLEMINX_007.txt"
"hath","noun, singular or mass","FLEMINX_009.txt"
"hath","verb, 3rd sing","FLEMINX_009.txt"
"hath","preposition or subordinating conjunction","FLEMINX_011.txt"
"hath","verb, 3rd sing","FLEMINX_012.txt"
"hath","verb, 3rd sing","FLEMINX_012.txt"
"hath","verb, 3rd sing","FLEMINX_013.txt"
"hath","verb, 3rd sing","FLEMINX_013.txt"
"hath","verb, 3rd sing","FLEMINX_013.txt"
"hath","verb, 3rd sing","FLEMINX_013.txt"
"hath","verb, 3rd sing","FLEMINX_016.txt"
"hath","verb, 3rd sing","FLEMINX_016.txt"
"hath","noun, singular or mass","FLEMINX_021.txt"
"hath","verb, 3rd sing","FLEMINX_021.txt"
"hath","verb, 3rd sing","FLEMINX_021.txt"
"hath","noun, singular or mass","FLEMINX_022.txt"
"hath","verb, 3rd sing","FLEMINX_023.txt"
"hath","verb, 3rd sing","FLEMINX_023.txt"
"hath","verb, 3rd sing","FLEMINX_026.txt"
"hath","verb, 3rd sing","FLEMINX_026.txt"
"hath","preposition or subordinating conjunction","FLEMINX_027.txt"
"hath","verb, 3rd sing","FLEMINX_028.txt"
"hath","verb, 3rd sing","FLEMINX_028.txt"
"hath","verb, 3rd sing","FLEMINX_028.txt"
"hath","verb, 3rd sing","FLEMINX_033.txt"
"hath","noun, singular or mass","FLEMINX_033.txt"
"hath","verb, 3rd sing","FLEMINX_033.txt"
"hath","verb, 3rd sing","FLEMINX_033.txt"
"hath","verb, 3rd sing","FLEMINX_034.txt"
"hath","verb, 3rd sing","FLEMINX_034.txt"
"hath","noun, singular or mass","FLEMINX_035.txt"
"hath","noun, singular or mass","FLEMINX_035.txt"
"hath","noun, singular or mass","FLEMINX_036.txt"
"hath","verb, 3rd sing","FLEMINX_036.txt"
"hath","verb, non-3rd sing","FLEMINX_036.txt"
"hath","noun, singular or mass","FLEMINX_036.txt"
"hath","verb, 3rd sing","FLEMINX_036.txt"
"hath","noun, singular or mass","FLEMINX_038.txt"
"hath","noun, singular or mass","FLEMINX_041.txt"
"hath","verb, 3rd sing","FLEMINX_042.txt"
"hath","verb, 3rd sing","FLEMINX_045.txt"
"hath","verb, 3rd sing","FLEMINX_045.txt"
"hath","noun, singular or mass","FLEMINX_046.txt"
"hath","noun, singular or mass","FLEMINX_049.txt"
